category                                                                                                                                                                                          ,name                                                                                                                                                                                              ,summary                                                                                                                                                                                           ,bug_url                                                                                                                                                                                           ,owner                                                                                                                                                                                             ,impl_status_chrome                                                                                                                                                                                ,shipped_milestone                                                                                                                                                                                 ,footprint                                                                                                                                                                                         ,visibility                                                                                                                                                                                        ,prefixed                                                                                                                                                                                          ,standardization                                                                                                                                                                                   ,spec_link                                                                                                                                                                                         ,safari_views                                                                                                                                                                                      ,safari_views_link                                                                                                                                                                                 ,ff_views                                                                                                                                                                                          ,ff_views_link                                                                                                                                                                                     ,ie_views                                                                                                                                                                                          ,ie_views_link                                                                                                                                                                                     ,web_dev_views    ,comments
13, User Timing API,Helps web developers measure the performance of their applications by giving them access to high precision timestamps.,http://crbug.com/159547,simonjames@chromium.org,7,25,2,3,FALSE,3,https://dvcs.w3.org/hg/webperf/raw-file/tip/specs/UserTiming/Overview.html,5,,5,,3,,4,
2,<datalist>,Predefined data/options for controls,,,7,20,3,3,FALSE,2,http://whatwg.org/html#the-datalist-element,5,,1,,1,,4,
2,<details>/<summary>,Interactive widget to show/hide content.,,,7,12,3,3,FALSE,2,http://whatwg.org/html#the-details-element,5,,2,,5,,4,
2,<dialog>,An HTML element for a dialog box,http://crbug.com/140205,falken@chromium.org,4,25,2,2,FALSE,3,http://whatwg.org/html#the-dialog-element,5,,5,,5,,2,
2,<img srcset>,Enable a responsive images solution and give developers control over the image resource that is downloaded & displayed using the various resources' media attributes,,,1,,3,3,FALSE,3,http://whatwg.org/html#attr-img-srcset,2,,5,,5,,3,
2,<picture> element,,http://crbug.com/233751,yoav@yoav.ws,3,,2,1,FALSE,3,http://www.w3.org/TR/html-picture-element/,4,,5,,5,,3,
1,<template>,HTML template element to allow creating fragment of inert HTML as a prototype for stamping out DOM.,http://crbug.com/164794,"rafaelw@chromium.org, adamk@chromium.org",7,26,2,3,FALSE,3,http://www.w3.org/TR/html-templates/,4,,2,,3,,2,
6,a[download] attribute,"When used on an <a>, this attribute signifies that the resource it points to should be downloaded by the browser rather than navigating to it. ",,,7,14,4,4,FALSE,2,http://whatwg.org/html#downloading-resources,6,,1,,5,,4,
14,Animated WebP,Support for animated WebP images,http://crbug.com/234777,skonig@chromium.org,4,,3,3,TRUE,5,https://developers.google.com/speed/webp/docs/riff_container,6,,4,,5,,2,
14,Application Cache,Enables web pages to work without the user being connected to the internet,,michaeln@chromium.org,7,6,1,2,FALSE,2,http://whatwg.org/html/#applicationcache,1,,1,,1,,5,
10,Arrow function,The arrow (=>) takes the place of the function keyword,,,1,,3,3,TRUE,4,http://wiki.ecmascript.org/doku.php?id=harmony:specification_drafts,3,,1,,3,,3,
8,Battery Status,Allows access to see the battery level of the device's battery,http://wkbug.com/62698,rakuco (raphael.kubo.da.costa@intel.com),3,,3,4,FALSE,2,https://dvcs.w3.org/hg/dap/raw-file/default/battery/Overview.html,5,,1,,5,,2,
6,Blob,"Allows you to construct Blobs directly (var blob = new Blob([""1234""], {type: 'text/plain'})). Blob() constructor also can take ArrayBufferView directly rather than constructing a blob with ArrayBuffer.",,,7,20,2,3,FALSE,2,http://dev.w3.org/2006/webapi/FileAPI/#dfn-Blob,5,,1,,3,,4,
10,"Block bindings (let, const, function)",Allows developers to explicitly qualify access to variables within a block.,,rossberg@chromium.org,4,,3,3,FALSE,4,http://wiki.ecmascript.org/doku.php?id=harmony:specification_drafts,3,,1,,3,,1,
15,Box Alignment,CSS properties for aligning boxes within their container. Allows for true vertical centering among other features.,http://crbug.com/226252,cbiesinger@chromium.org,1,,3,2,TRUE,3,http://dev.w3.org/csswg/css3-align/,5,,3,,5,,4,
